file_name,bbox_num,unique_class_num
train/0861.jpg,19,6
train/0272.jpg,34,3
train/3403.jpg,35,4
train/1177.jpg,35,5
train/3049.jpg,34,7
train/3162.jpg,21,6
train/3277.jpg,17,6
train/0321.jpg,30,3
train/3905.jpg,20,6
train/0602.jpg,21,6
train/0751.jpg,29,6
train/1338.jpg,16,7
train/1127.jpg,12,6
train/0190.jpg,27,7
train/2863.jpg,9,6
train/3662.jpg,8,6
train/1447.jpg,17,6
train/1918.jpg,32,7
train/2848.jpg,18,6
train/3796.jpg,31,5
train/4331.jpg,10,6
train/2228.jpg,16,6
train/3659.jpg,12,7
train/3825.jpg,40,5
train/3046.jpg,34,5
train/0891.jpg,22,7
train/4101.jpg,19,7
train/3148.jpg,32,5
train/4794.jpg,16,7
train/0930.jpg,22,6
train/0833.jpg,32,2
train/1002.jpg,30,5
train/2317.jpg,7,6
train/3601.jpg,33,4
train/3946.jpg,17,6
train/0694.jpg,34,7
train/1316.jpg,22,6
train/2956.jpg,32,2
train/4225.jpg,37,4
train/1996.jpg,24,7
train/4197.jpg,71,7
train/4047.jpg,52,4
train/1019.jpg,18,6
train/4537.jpg,30,3
train/2981.jpg,46,1
train/3716.jpg,30,6
train/1171.jpg,21,6
train/4778.jpg,40,4
train/0221.jpg,28,6
train/3707.jpg,11,6
train/2815.jpg,29,7
train/3450.jpg,34,6
train/0550.jpg,22,6
train/2678.jpg,31,6
train/0394.jpg,48,2
train/0956.jpg,33,3
train/0352.jpg,33,6
train/4841.jpg,41,5
train/4292.jpg,18,6
train/1063.jpg,26,6
train/1020.jpg,39,5
train/2583.jpg,15,6
train/1621.jpg,13,6
train/1051.jpg,15,6
train/1955.jpg,46,3
train/1445.jpg,13,6
train/1728.jpg,26,6
train/3135.jpg,30,4
train/0152.jpg,9,6
train/2182.jpg,31,5
train/1678.jpg,44,5
train/4492.jpg,42,5
train/4260.jpg,20,7
train/2558.jpg,20,7
train/3296.jpg,19,6
train/0624.jpg,37,4
train/4119.jpg,38,4
train/1671.jpg,39,4
train/4261.jpg,32,5
train/1997.jpg,31,5
train/0042.jpg,22,6
train/3430.jpg,32,6
train/2521.jpg,40,6
train/2387.jpg,32,5
train/0384.jpg,38,6
train/2572.jpg,31,4
train/0655.jpg,32,6
train/2624.jpg,26,6
train/0840.jpg,31,4
train/1535.jpg,18,7
train/0469.jpg,12,6
train/3263.jpg,9,6
train/0168.jpg,31,4
train/1669.jpg,31,6
train/3882.jpg,20,6
train/1435.jpg,20,7
train/4445.jpg,19,6
train/0170.jpg,7,6
train/2741.jpg,11,6
train/1797.jpg,42,4
train/2042.jpg,17,6
train/3026.jpg,37,6
train/1058.jpg,38,3
train/2666.jpg,25,6
train/0946.jpg,55,6
train/4746.jpg,20,6
train/3575.jpg,22,6
train/1913.jpg,22,6
train/0767.jpg,31,4
train/2416.jpg,46,4
train/1857.jpg,20,6
train/1963.jpg,28,6
train/4070.jpg,23,6
train/1872.jpg,35,5
train/2189.jpg,32,5
train/2522.jpg,26,6
train/3289.jpg,17,7
train/1360.jpg,26,6
train/0493.jpg,22,6
train/4570.jpg,27,6
train/2539.jpg,22,6
train/2794.jpg,34,5
train/1677.jpg,12,6
train/2648.jpg,27,6
train/3543.jpg,10,6
